FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
G90134,2015053001,2015,Lightning,2015-G90134,5.2,2015 ROLLOVER,20150602124536,20150602124536,20150525,OZIX,JA70003000,,1844886,52328.1664,1017.1922000000001,,
G90144,2015072901,2015,Lightning,2015-G90144,25.3,2015 ROLLOVER,20150729,20150729164826,20150526,OZIX,JA70003000,,1844887,253340.6381,2399.2344000000003,,
K50261,2015070401,2015,Person,2015-K50261,39.800000000000004,2015 ROLLOVER,20150704,20150804170504,20150703,OZIX,JA70003000,,1844977,398338.7524,3553.5,,
K50277,2015070801,2015,Person,2015-K50277,159.8,2015 ROLLOVER,20150708,20150820085151,20150704,OZIX,JA70003000,,1844978,1598623.3354,5225.4853,,
K50389,2015072001,2015,Person,2015-K50389,1.5,2015 ROLLOVER,20150720,20150804172146,20150719,OZIX,JA70003000,,1844979,15417.976900000001,538.4998,,
K50391,2015080201,2015,Lightning,2015-K50391,564.6,2015 ROLLOVER,20150802,20150803101306,20150719,OZIX,JA70003000,,1844980,5646933.6654,10969.0291,,
K50438,2015072201,2015,Lightning,2015-K50438,131.2,2015 ROLLOVER,20150722,20150904150806,20150720,OZIX,JA70003000,,1844981,1312227.2874,5036.1407,,
K50554,2015080801,2015,Person,2015-K50554,1,2015 ROLLOVER,20150808,20150901082916,20150808,OZIX,JA70003000,,1844982,10985.3516,481.1603,,
N50613,2015082501,2015,Lightning,2015-N50613,2.2,2015 ROLLOVER,20150825,20150903082617,20150804,OZIX,JA70003000,,1845065,22224.237399999998,1017.5094,,
N50622,2015090301,2015,Lightning,2015-N50622,74.8,2015 ROLLOVER,20150903,20150903140339,20150813,OZIX,JA70003000,,1845066,748760.6308,4669.8891,,
N50715,2015092301,2015,Lightning,2015-N50715,80,2015 ROLLOVER,20150923,20150924143117,20150814,Hand sketch of any type                           ,JA70003000,,1845067,800145.7459,4160.9158,,
N50734,2015082401,2015,Lightning,2015-N50734,1.1,2015 ROLLOVER,20150824,20150911155749,20150814,OZIX,JA70003000,,1845068,11229.7878,504.7669,,
N50788,2015101801,2015,Person,2015-N50788,1.2,2015 ROLLOVER,20151018,20151124141815,20151017,Non-corrected ground GPS                          ,JA70003000,,1845069,12807.5746,510.69750000000005,,
R30083,2015062201,2015,Person,2015-R30083,0.9,2015 ROLLOVER,20150622,20151005153612,20150614,Non-corrected ground GPS                          ,JA70003000,,1845123,9075.2727,451.4137,,
R30135,2015072801,2015,Lightning,2015-R30135,1.8,2015 ROLLOVER,20150728141142,20150728141346,20150720,OZIX,JA70003000,,1845124,18248.423000000003,580.9999,,
R40005,2015040901,2015,Person,2015-R40005,1.9000000000000001,2015 ROLLOVER,20150722093553,20150722093553,20150409,OZIX,JA70003000,,1845125,19322.7244,588.3339,,
R40120,2015080701,2015,Person,2015-R40120,2,2015 ROLLOVER,20150914134952,20150914135156,20150708,OZIX,JA70003000,,1845126,20882.3877,611.2563,,
R50004,2015041001,2015,Person,2015-R50004,14.6,2015 ROLLOVER,20150410142802,20150410142802,20150409,OZIX,JA70003000,,1845127,146847.3293,2404.1992,,
R50048,2015052601,2015,Person,2015-R50048,1.4000000000000001,2015 ROLLOVER,20150526,20150922131400,20150525,Non-corrected ground GPS                          ,JA70003000,,1845128,14950.0149,1037.8696,,
R50101,2015092901,2015,Lightning,2015-R50101,1159.2,2015 ROLLOVER,20150929,20150930131115,20150627,Derived from satellite imagery                    ,JA70003000,,1845129,11592410.722,17880.6437,,
R50111,2015070501,2015,Lightning,2015-R50111,1,2015 ROLLOVER,20150909101115,20150909101115,20150610,OZIX,JA70003000,,1845130,10324.462,625.0058,,
R50114,2015070801,2015,Lightning,2015-R50114,9.1,2015 ROLLOVER,20150708,20150917155758,20150616,Non-corrected airborne GPS                        ,JA70003000,,1845131,91121.2956,1449.8467,,
G90160,2015060501,2015,Lightning,2015-G90160,2,2015 ROLLOVER,20150605143055,20150605143055,20150526,OZIX,JA70003000,,1844888,20119.172,774.7658,,
G90175,2015062301,2015,Lightning,2015-G90175,18070.600000000002,2015 ROLLOVER,20150623110616,20150623110616,20150525,OZIX,JA70003000,,1844889,180706849.3125,90808.4096,,
G90176,2015072801,2015,Lightning,2015-G90176,393.3,2015 ROLLOVER,20150728,20150728162528,20150522,OZIX,JA70003000,,1844890,3933961.4297,10178.7785,,
G90180,2015070801,2015,Lightning,2015-G90180,49545.3,2015 ROLLOVER,20150808,20150709111519,20150526,OZIX,JA70003000,,1844891,495453536.2404,199456.4566,,
G90194,2015070402,2015,Lightning,2015-G90194,305.8,2015 ROLLOVER,20150704,20150707161307,20150524,OZIX,JA70003000,,1844892,3058833.7688,9419.821,,
G90195,2015060501,2015,Lightning,2015-G90195,946.7,2015 ROLLOVER,20150605,20150605151346,20150526,OZIX,JA70003000,,1844893,9467101.011,22293.0465,,
G90211,2015073001,2015,Person,2015-G90211,223.70000000000002,2015 ROLLOVER,20150730,20150730173907,20150529,OZIX,JA70003000,,1844894,2237408.6046,6796.649,,
G90222,2015072901,2015,Lightning,2015-G90222,61.800000000000004,2015 ROLLOVER,20150729,20150729111552,20150526,OZIX,JA70003000,,1844895,618269.6452,3127.2305,,
K50593,2015081401,2015,Lightning,2015-K50593,46.6,2015 ROLLOVER,20150814,20150819095028,20150813,OZIX,JA70003000,,1844983,466262.0249,3986.7302,,
K50602,2015081401,2015,Person,2015-K50602,1.7,2015 ROLLOVER,20150814,20150824111441,20150814,OZIX,JA70003000,,1844984,17601.3135,645.2885,,
K50615,2015091501,2015,Lightning,2015-K50615,5201.900000000001,2015 ROLLOVER,20150915,20150915172220,20150814,OZIX,JA70003000,,1844985,52019445.7205,53321.4356,,
K50619,2015081701,2015,Person,2015-K50619,370.6,2015 ROLLOVER,20150817,20150824163535,20150814,OZIX,JA70003000,,1844986,3706970.0735,8369.7862,,
K50673,2015081801,2015,Person,2015-K50673,2,2015 ROLLOVER,20150818,20150824112800,20150817,OZIX,JA70003000,,1844987,20471.9411,707.4505,,
K50723,2015082701,2015,Person,2015-K50723,6.6000000000000005,2015 ROLLOVER,20150827,20150918150845,20150827,Non-corrected ground GPS                          ,JA70003000,,1844988,66289.2406,1351.1681,,
N50795,2015102601,2015,Person,2015-N50795,1.3,2015 ROLLOVER,20151026,20151124103845,20151025,Non-corrected ground GPS                          ,JA70003000,,1845070,13416.9068,654.5324,,
N60163,2015070101,2015,Lightning,2015-N60163,26.1,2015 ROLLOVER,20150701,20150730112153,20150627,OZIX,JA70003000,,1845071,261131.572,2119.8951,,
N60165,2015070601,2015,Lightning,2015-N60165,0.9,2015 ROLLOVER,20150706,20151021141457,20150627,Non-corrected ground GPS                          ,JA70003000,,1845072,9983.9048,431.9592,,
N60170,2015062801,2015,Lightning,2015-N60170,0.9,2015 ROLLOVER,20150717213643,20150717213643,20150628,OZIX,JA70003000,,1845073,9776.001400000001,424.0357,,
N60222,2015071101,2015,Lightning,2015-N60222,6.3,2015 ROLLOVER,20150711,20150805105519,20150629,OZIX,JA70003000,,1845074,63798.0947,1038.0941,,
R80106,2015092901,2015,Lightning,2015-R80106,142.3,2015 ROLLOVER,20150929,20150930130838,20150629,Derived from satellite imagery                    ,JA70003000,,1845132,1423133.1451,6529.2154,,
